"Date
(YY:MM:DD)","Time
(HH:MM:SS)","Time
(µs)","Ax
(m/s^2)","Ay
(m/s^2)","Az
(m/s^2)","Gx
(deg/s)","Gy
(deg/s)","Gz
(deg/s)",label
05-12-22,13:15:59,329941,-0.411802686,0.907402429,9.430760339,-0.114503817,0.595419847,-0.641221374,0
05-12-22,13:15:59,540549,0.74938512,0.12928689,9.504980591,0.396946565,1.030534351,-1.381679389,0
05-12-22,13:15:59,751898,-0.69192428,0.404620081,9.73482395,-0.13740458,-1.526717557,-0.839694656,0
05-12-22,13:15:59,962907,0.730231506,0.299275208,9.500192188,0.114503817,-0.267175573,-1.450381679,0
05-12-22,13:16:00,171902,-8.932766394,5.087678528,16.71392179,-0.045801527,-13.06870229,0.442748092,0
05-12-22,13:16:00,380432,-4.314351392,2.276885779,14.91587634,-0.038167939,5.435114504,0.030534351,0
05-12-22,13:16:00,590449,2.195482922,3.035847705,6.548141541,-0.091603053,5.870229008,1.595419847,0
05-12-22,13:16:00,799035,10.8193973,-0.541089575,-1.505952844,0.076335878,11.71755725,-1.687022901,0
05-12-22,13:16:01,9850,1.084573352,0.799663354,8.911218579,0.053435115,-0.961832061,-1.618320611,0
05-12-22,13:16:01,220647,-1.819593262,1.146822595,10.83855092,0.152671756,-0.740458015,-0.694656489,0
05-12-22,13:16:01,432961,-0.988805286,0.15801731,13.13937871,0.190839695,-4.290076336,-0.236641221,0
05-12-22,13:16:01,644932,12.70602821,-4.091690637,0.469263525,0.34351145,17.13740458,-1.290076336,0
05-12-22,13:16:01,857889,-6.988674646,-0.550666382,18.12410657,0.618320611,-8.198473282,-2.229007634,0
05-12-22,13:16:02,69379,9.631873279,1.06781394,-0.928950244,1.946564885,13.90076336,-0.961832061,0
05-12-22,13:16:02,281890,8.992621436,0.474051929,-0.574608398,-0.13740458,8.503816794,0.65648855,0
05-12-22,13:16:02,494790,-0.385466467,-0.711077893,8.082824805,0.236641221,-0.519083969,-2.091603053,0
05-12-22,13:16:02,707216,0.866701001,1.570596289,2.52348855,0.190839695,9.160305344,-0.221374046,0
05-12-22,13:16:02,920677,-7.050923889,-1.546654272,19.61270145,0.572519084,-14.3740458,-1.633587786,0
05-12-22,13:16:03,132497,-7.010222461,1.982398975,17.69554447,-0.076335878,-7.671755725,-0.977099237,0
05-12-22,13:16:03,344438,-0.452504114,-0.529118567,9.868899243,0.290076336,1.183206107,-1.763358779,0
05-12-22,13:16:03,555442,0.502782349,1.496376038,8.73883606,-0.145038168,-3.045801527,-0.305343511,0
05-12-22,13:16:03,766251,0.550666382,0.905008228,10.36928739,0.190839695,0.503816794,-0.885496183,0
05-12-22,13:16:03,976973,2.810792749,-1.424549988,7.90325968,0.282442748,1.022900763,-2.427480916,0
05-12-22,13:16:04,187640,-0.217872351,1.537077466,10.33816277,-0.06870229,-3.106870229,-0.977099237,0
05-12-22,13:16:04,398172,0.569819995,-0.090979663,8.822633118,0.374045802,-0.396946565,-0.320610687,0
05-12-22,13:16:04,608849,0.459686719,0.265756384,9.392453113,0.320610687,-0.305343511,-1.129770992,0
05-12-22,13:16:04,819592,-0.646434448,0.46208092,9.787496387,0.053435115,0.022900763,-0.900763359,0
05-12-22,13:16:05,30273,1.486799231,-0.165199915,9.27274303,0.053435115,0.610687023,-1.58778626,0
05-12-22,13:16:05,240994,-0.150834705,0.136469495,10.30703815,0.076335878,-2.091603053,-0.900763359,0
