"Date
(YY:MM:DD)","Time
(HH:MM:SS)","Time
(µs)","Ax
(m/s^2)","Ay
(m/s^2)","Az
(m/s^2)","Gx
(deg/s)","Gy
(deg/s)","Gz
(deg/s)",label
05-12-22,16:58:28,99405,-0.529118567,0.555454785,10.48899747,0.305343511,-2.984732824,0.404580153,0
05-12-22,16:58:28,312987,0.667982263,0.557848987,9.327809668,-0.167938931,0.580152672,-1.404580153,0
05-12-22,16:58:28,525450,-1.403002173,0.260967981,9.758765967,-0.015267176,-0.297709924,0.030534351,0
05-12-22,16:58:28,737171,-1.723825195,0.993593689,11.29584343,0.129770992,-4.290076336,0.969465649,0
05-12-22,16:58:28,948908,5.499481213,1.666364355,9.074024292,0.160305344,8.458015267,-2.786259542,0
05-12-22,16:58:29,160861,1.144428394,0.828393774,9.521740002,0.20610687,2.030534351,-1.015267176,0
05-12-22,16:58:29,373245,0.524330164,0.60573302,8.832209924,-0.076335878,-0.083969466,-1.229007634,0
05-12-22,16:58:29,585022,0.136469495,0.50517655,10.22324109,0.145038168,0.198473282,-1.236641221,0
05-12-22,16:58:29,796855,-1.711854187,1.912967126,10.57518873,0.06870229,-1.801526718,-0.648854962,0
05-12-22,16:58:30,8978,-0.775721338,0.517147559,12.07156477,-0.190839695,-1.114503817,-0.717557252,0
05-12-22,16:58:30,220447,-0.342370837,1.118092175,9.28710824,0.259541985,-4.610687023,-0.251908397,0
05-12-22,16:58:30,431952,0.66319386,1.618480322,10.01494554,-0.396946565,2.809160305,0.465648855,0
05-12-22,16:58:30,643774,1.063025537,-0.102950671,9.334992273,0.190839695,1.709923664,-1.175572519,0
05-12-22,16:58:30,855642,0.136469495,0.746990918,9.217676392,0.015267176,-1.72519084,-0.58778626,0
05-12-22,16:58:31,67977,0.991199487,0.737414111,10.01733975,0.152671756,-0.015267176,-0.702290076,0
05-12-22,16:58:31,279648,-2.482787122,2.533065356,12.5456167,-0.030534351,-4.007633588,0.732824427,0
05-12-22,16:58:31,491387,0.50517655,-0.272938989,9.861716638,0.152671756,-2.038167939,-0.786259542,0
05-12-22,16:58:31,703509,0.967257471,0.991199487,9.708487732,0.022900763,1.916030534,-1.267175573,0
05-12-22,16:58:31,916234,2.047042419,0.62009823,10.32379756,0.160305344,0.702290076,-0.526717557,0
05-12-22,16:58:32,128558,0.960074866,0.46208092,11.05163486,-0.030534351,1.419847328,-1.671755725,0
05-12-22,16:58:32,341734,0.407014282,0.361524451,10.14662664,0.053435115,-0.465648855,-0.923664122,0
05-12-22,16:58:32,553846,0.785298145,0.723048901,9.24401261,0.061068702,0.664122137,-0.79389313,0
05-12-22,16:58:32,766153,-0.05746084,0.646434448,10.73320604,-0.13740458,2.328244275,-0.541984733,0
